m1,m2,m3,m4,m5,m6,m7,value
Daman-Bhimpore,Staff,Manufacturing,04-08-14,5 & Above,Global Mfg,100,1
Daman-Bhimpore,Staff,Manufacturing,19-07-13,5 & Above,Global Mfg,100,1
Daman-Bhimpore,Staff,Manufacturing,31-07-15,5 & Above,Global Mfg,100,1
Daman-Kadaiya,Executive,Manufacturing,08-09-13,5 & Above,Quality,100,1
Daman-Bhimpore,Senior Executive,Manufacturing,30-12-13,5 & Above,Quality,100,1
Daman-Kadaiya,Senior Executive,Manufacturing,05-04-15,5 & Above,Quality,100,1
Daman-Bhimpore,Staff,Manufacturing,02-07-14,5 & Above,Global Mfg,100,1
Shendra-SEZ,Senior Manager,Manufacturing,13-01-16,5 & Above,Global Mfg,100,1
Shendra-SEZ,Senior Manager,Manufacturing,04-05-15,5 & Above,Global Mfg,100,1
Daman-Bhimpore,General Manager - Manufacturing,Corporate Office,20-09-13,5 & Above,Global Mfg,100,1
Daman-Bhimpore,Manager,Manufacturing,20-01-14,5 & Above,Global Mfg,100,1
Daman-Bhimpore,Senior Executive,Manufacturing,18-07-14,5 & Above,Quality,100,1
Daman-Bhimpore,Executive,Manufacturing,27-03-15,5 & Above,Global Mfg,100,1
Shendra-SEZ,Senior Officer,Manufacturing,02-08-13,5 & Above,Quality,100,1
Shendra-SEZ,Assistant Manager,Manufacturing,03-07-14,5 & Above,Global Mfg,100,1
Daman-Bhimpore,Assistant Manager,Manufacturing,18-01-15,5 & Above,Quality,100,1
Daman-Bhimpore,Executive,Manufacturing,14-04-16,5 & Above,Global Mfg,100,1
Daman-Bhimpore,Manager - Engineering Services,Manufacturing,13-01-14,3-5 Years,Global Mfg,100,1
Daman-Bhimpore,Junior Executive,Manufacturing,21-10-15,5 & Above,Global Mfg,100,1
Daman-Bhimpore,Executive,Manufacturing,06-02-15,5 & Above,Global Mfg,100,1
Shendra-SEZ,Executive,Manufacturing,05-03-15,5 & Above,Quality,100,1
Daman-Bhimpore,Senior Officer,Manufacturing,01-08-13,3-5 Years,Global Mfg,100,1
Daman-Bhimpore,Senior Officer,Manufacturing,08-10-13,3-5 Years,Quality,100,1
Daman-Bhimpore,Executive,Manufacturing,23-03-14,3-5 Years,Quality,100,1
Daman-Bhimpore,Staff,Manufacturing,23-07-14,3-5 Years,Global Mfg,100,1
Daman-Kadaiya,Senior Officer,Manufacturing,01-05-14,3-5 Years,Global Mfg,200,1
Shendra-SEZ,Sr.Officer,Manufacturing,01-08-13,3-5 Years,Global Mfg,200,1
Shendra-SEZ,Senior Officer,Manufacturing,24-01-14,3-5 Years,Global Mfg,200,1
Shendra-SEZ,Junior Executive,Manufacturing,14-02-14,3-5 Years,Global Mfg,200,1
Shendra-SEZ,Assistant,Manufacturing,26-12-15,5 & Above,Global Mfg,200,1
Daman-Bhimpore,Trainee Workman,Manufacturing,07-11-14,3-5 Years,Global Mfg,200,1
Shendra-SEZ,Officer,Manufacturing,20-02-16,5 & Above,Global Mfg,200,1
Shendra-SEZ,Junior Executive,Manufacturing,09-05-14,3-5 Years,Quality,200,1
Shendra-SEZ,Assistant Manager - HR,Manufacturing,31-12-13,3-5 Years,Global Mfg,200,1
Daman-Bhimpore,Manager,Manufacturing,03-08-15,3-5 Years,Global Mfg,200,1
Shendra-SEZ,Supervisor,Manufacturing,13-08-13,2-3 Years,Global Mfg,200,1
Shendra-SEZ,Senior Officer,Manufacturing,06-11-14,3-5 Years,Global Mfg,200,1
B15-Waluj,Executive,Manufacturing,29-06-16,5 & Above,Quality,200,1
Shendra-SEZ,Senior Executive,Manufacturing,03-01-14,3-5 Years,Global Mfg,200,1
Shendra-SEZ,Junior Executive,Manufacturing,29-10-13,3-5 Years,Quality,200,1
Shendra-SEZ,Manager - Production,Manufacturing,26-05-14,3-5 Years,Global Mfg,300,1
Daman-Bhimpore,Senior Officer,Manufacturing,25-01-15,3-5 Years,Global Mfg,300,1
Daman-Kadaiya,Officer,Manufacturing,09-06-14,3-5 Years,Global Mfg,300,1
Shendra-SEZ,Senior Assistant II,Manufacturing,09-09-14,3-5 Years,Global Mfg,300,1
Shendra-SEZ,Senior Officer,Manufacturing,05-01-16,5 & Above,Global Mfg,300,1
Daman-Kadaiya,Executive,Manufacturing,05-06-14,3-5 Years,Quality,300,1
Chikalthana,Assistant,Manufacturing,01-11-15,3-5 Years,Global Mfg,300,1
Shendra-SEZ,Senior Officer,Manufacturing,15-07-13,2-3 Years,Quality,300,1
Daman-Kadaiya,Executive,Manufacturing,08-03-14,3-5 Years,Quality,300,1
Daman-Kadaiya,Supervisor,Manufacturing,21-12-14,3-5 Years,Global Mfg,300,1
