m1,m2,m3,m4,m5,m6,m7,Left,value
Assam,Associate,Finance,01-08-16,00-01 yrs,Sales,185,0,1
Delhi,Associate,Finance,01-03-16,01-02 yrs,Marketing,208,0,1
Assam,Associate,Infra,01-12-16,00-01 yrs,IT,243,0,1
Assam,Relationship Manager,Finance,01-01-16,01-02 yrs,Sales,171,0,1
Assam,Relationship Manager,Finance,01-10-16,00-01 yrs,Finance,225,0,1
Delhi,Sales Executive,Telecom,01-05-16,00-01 yrs,Marketing,101,0,1
Assam,Administration Executive,Metal,01-09-16,01-02 yrs,Marketing,278,0,1
Jharkhand,Sales Executive,Retail,01-09-16,00-01 yrs,Support,177,0,1
Delhi,Territory Manager,Finance,01-04-16,05-10 yrs,Finance,195,0,1
Delhi,Territory Manager,Finance,01-11-16,00-01 yrs,Support,284,0,1
Jharkhand,Corporate Role,Retail,01-09-16,00-01 yrs,Sales,105,0,1
Delhi,Associate,Retail,01-04-16,00-01 yrs,HR,104,0,1
Assam,Businees Development Executive,Telecom,01-04-16,00-01 yrs,Marketing,186,0,1
Delhi,Territory Manager,Retail,01-07-16,00-01 yrs,Sales,138,0,1
Assam,Administration Executive,Retail,01-09-16,10+ yrs,Marketing,273,0,1
Assam,Businees Development Executive,Retail,01-07-16,00-01 yrs,IT,285,0,1
Assam,Businees Development Executive,Finance,01-04-16,02-05 yrs,Sales,163,0,1
Delhi,Businees Development Executive,Power,01-08-16,10+ yrs,Sales,278,0,1
Delhi,Administration Executive,Finance,01-10-16,01-02 yrs,Support,190,0,1
Assam,Administration Executive,Finance,01-01-16,02-05 yrs,Sales,217,0,1
Jharkhand,Corporate Role,Retail,01-12-16,01-02 yrs,IT,300,0,1
Delhi,Sales Executive,Telecom,01-12-16,10+ yrs,Marketing,128,0,1
Jharkhand,Administration Executive,Metal,01-06-16,00-01 yrs,Finance,131,0,1
Delhi,Relationship Manager,Retail,01-09-16,01-02 yrs,Sales,224,0,1
Jharkhand,Corporate Role,Metal,01-09-16,10+ yrs,Finance,209,0,1
Delhi,Corporate Role,Retail,01-02-16,01-02 yrs,IT,209,0,1
Delhi,Sales Executive,Metal,01-11-16,00-01 yrs,Finance,118,0,1
Assam,Territory Manager,Metal,01-03-16,00-01 yrs,Finance,252,0,1
Delhi,Territory Manager,Metal,01-06-16,02-05 yrs,Sales,143,0,1
Delhi,Relationship Manager,Finance,01-05-16,01-02 yrs,HR,251,0,1
Jharkhand,Administration Executive,Retail,01-06-16,00-01 yrs,IT,234,0,1
Jharkhand,Relationship Manager,Retail,01-12-16,01-02 yrs,Sales,144,0,1
Assam,Sales Executive,Power,01-03-16,01-02 yrs,Marketing,231,0,1
Delhi,Administration Executive,Finance,01-04-16,02-05 yrs,Finance,154,0,1
Delhi,Associate,Metal,01-01-16,00-01 yrs,Sales,129,0,1
Delhi,Sales Executive,Finance,01-07-16,00-01 yrs,Sales,142,0,1
Jharkhand,Relationship Manager,Telecom,01-03-16,05-10 yrs,Sales,164,0,1
Assam,Businees Development Executive,Infra,01-08-16,01-02 yrs,Sales,110,0,1
Jharkhand,Associate,Metal,01-01-16,05-10 yrs,Finance,165,0,1
Delhi,Businees Development Executive,Telecom,01-02-16,00-01 yrs,Support,164,0,1
Jharkhand,Associate,Metal,01-11-16,00-01 yrs,Finance,170,0,1
Jharkhand,Relationship Manager,Metal,01-03-16,05-10 yrs,Support,111,0,1
Delhi,Businees Development Executive,Telecom,01-02-16,00-01 yrs,Finance,177,0,1
Delhi,Associate,Finance,01-07-16,01-02 yrs,Finance,257,0,1
Assam,Corporate Role,Finance,01-01-16,00-01 yrs,Sales,122,0,1
Delhi,Businees Development Executive,Infra,01-06-16,01-02 yrs,Support,136,0,1
Jharkhand,Businees Development Executive,Metal,01-02-16,02-05 yrs,Sales,256,0,1
Delhi,Relationship Manager,Finance,01-05-16,10+ yrs,Support,201,0,1
Delhi,Businees Development Executive,Telecom,01-10-16,01-02 yrs,Sales,191,0,1
Jharkhand,Administration Executive,Retail,01-06-16,00-01 yrs,Marketing,102,0,1
Jharkhand,Sales Executive,Finance,01-12-16,00-01 yrs,Finance,113,0,1
Delhi,Businees Development Executive,Retail,01-12-16,02-05 yrs,Marketing,133,0,1
Jharkhand,Relationship Manager,Telecom,01-11-16,10+ yrs,Marketing,281,0,1
Delhi,Territory Manager,Metal,01-02-16,10+ yrs,Sales,200,0,1
Jharkhand,Businees Development Executive,Finance,01-09-16,00-01 yrs,Finance,217,0,1
Assam,Territory Manager,Finance,01-08-16,01-02 yrs,Marketing,116,0,1
Jharkhand,Relationship Manager,Retail,01-04-16,00-01 yrs,Sales,267,0,1
Delhi,Associate,Retail,01-08-16,01-02 yrs,HR,255,0,1
Assam,Territory Manager,Finance,01-11-16,02-05 yrs,HR,214,0,1
Assam,Businees Development Executive,Power,01-06-16,00-01 yrs,HR,286,0,1
Assam,Associate,Retail,01-06-16,00-01 yrs,HR,106,0,1
Assam,Businees Development Executive,Finance,01-12-16,00-01 yrs,Sales,214,0,1
Jharkhand,Associate,Retail,01-07-16,01-02 yrs,Finance,289,0,1
Jharkhand,Associate,Finance,01-06-16,00-01 yrs,Marketing,124,0,1
Assam,Territory Manager,Retail,01-02-16,01-02 yrs,Finance,111,0,1
Assam,Administration Executive,Retail,01-07-16,02-05 yrs,Marketing,251,0,1
Jharkhand,Sales Executive,Infra,01-01-16,00-01 yrs,Finance,128,0,1
Delhi,Corporate Role,Telecom,01-09-16,02-05 yrs,Finance,244,0,1
Jharkhand,Businees Development Executive,Finance,01-09-16,00-01 yrs,Finance,299,0,1
Assam,Associate,Finance,01-05-16,01-02 yrs,Support,146,0,1
Jharkhand,Sales Executive,Metal,01-12-16,10+ yrs,Support,154,0,1
Assam,Associate,Power,01-05-16,00-01 yrs,Finance,242,0,1
Delhi,Territory Manager,Retail,01-04-16,01-02 yrs,Marketing,237,0,1
Assam,Corporate Role,Retail,01-03-16,00-01 yrs,Finance,201,0,1
Delhi,Sales Executive,Infra,01-04-16,01-02 yrs,Sales,218,0,1
Jharkhand,Corporate Role,Finance,01-04-16,00-01 yrs,HR,118,0,1
