m1,m2,m3,m4,m5,m6,m7,m8,Left,value
Assam,Territory Manager,Telecommunication,01-12-2016,40-50 yrs,Male,00-01 yrs,070-080,1,0
Jharkhand,Relationship Manager,Infrastructure,01-11-2016,20-25 yrs,Male,01-02 yrs,080-090,1,0
Assam,Associate,Finance,01-02-2016,25-30 yrs,Male,01-02 yrs,070-080,1,0
Delhi,Sales Executive,Retail,01-02-2016,40-50 yrs,Male,00-01 yrs,070-080,1,0
Assam,Corporate Role,Power,01-12-2016,20-25 yrs,Female,10+ yrs,050-070,1,0
Jharkhand,Administration Executive,Metal,01-06-2016,20-25 yrs,Male,00-01 yrs,100+,1,0
Assam,Territory Manager,Finance,01-04-2016,25-30 yrs,Male,00-01 yrs,050-070,1,0
Assam,Territory Manager,Finance,01-12-2016,30-40 yrs,Male,00-01 yrs,080-090,1,0
Delhi,Territory Manager,Metal,01-10-2016,25-30 yrs,Female,00-01 yrs,100+,1,0
Delhi,Administration Executive,Retail,01-12-2016,25-30 yrs,Male,05-10 yrs,070-080,1,0
Delhi,Businees Development Executive,Retail,01-03-2016,25-30 yrs,Male,00-01 yrs,050-070,1,0
Jharkhand,Businees Development Executive,Telecommunication,01-07-2016,20-25 yrs,Male,00-01 yrs,050-070,1,0
Jharkhand,Relationship Manager,Metal,01-07-2016,25-30 yrs,Female,02-05 yrs,090-100,1,0
Jharkhand,Relationship Manager,Metal,01-09-2016,20-25 yrs,Male,00-01 yrs,050-070,1,0
Jharkhand,Administration Executive,Telecommunication,01-06-2016,20-25 yrs,Male,01-02 yrs,050-070,1,0
Delhi,Associate,Infrastructure,01-07-2016,20-25 yrs,Female,02-05 yrs,050-070,1,0
Assam,Associate,Infrastructure,01-09-2016,20-25 yrs,Male,01-02 yrs,090-100,1,0
Delhi,Businees Development Executive,Retail,01-06-2016,00-20 yrs,Male,00-01 yrs,100+,1,0
Jharkhand,Businees Development Executive,Retail,01-03-2016,20-25 yrs,Male,00-01 yrs,090-100,1,0
Jharkhand,Relationship Manager,Finance,01-08-2016,20-25 yrs,Male,00-01 yrs,080-090,1,0
Jharkhand,Sales Executive,Finance,01-08-2016,00-20 yrs,Male,02-05 yrs,050-070,1,0
Delhi,Relationship Manager,Infrastructure,01-01-2016,25-30 yrs,Male,01-02 yrs,090-100,1,0
