m1,m2,m3,m4,m5,m6,type,value
Assam,Businees Development Executive,Vendor,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Assam,Associate,Direct,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,7
Assam,Associate,Direct,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,28
Assam,Associate,Direct,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,7
Assam,Associate,Career Page,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Assam,Associate,Career Page,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Assam,Associate,Career Page,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,8
Assam,Relationship Manager,Vendor,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Assam,Relationship Manager,Vendor,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,5
Assam,Relationship Manager,Direct,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Assam,Relationship Manager,Direct,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Assam,Relationship Manager,Direct,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Assam,Relationship Manager,Career Page,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,5
Assam,Relationship Manager,Career Page,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,5
Assam,Relationship Manager,Career Page,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,5
Assam,Relationship Manager,Referral,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Assam,Territory Manager,Vendor,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Assam,Territory Manager,Direct,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,10
Assam,Territory Manager,Direct,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,13
Assam,Territory Manager,Direct,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,22
Assam,Territory Manager,Career Page,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Assam,Territory Manager,Career Page,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Assam,Territory Manager,Career Page,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,5
Assam,Corporate Role,Direct,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Assam,Corporate Role,Direct,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Assam,Corporate Role,Career Page,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Assam,Businees Development Executive,Direct,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Assam,Sales Executive,Direct,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Assam,Administration Executive,Job Portal,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Assam,Administration Executive,Vendor,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,Businees Development Executive,Vendor,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,Businees Development Executive,Direct,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Delhi,Businees Development Executive,Direct,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,Businees Development Executive,Career Page,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Delhi,Businees Development Executive,Career Page,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,Businees Development Executive,Career Page,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,9
Delhi,Sales Executive,Direct,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,Associate,Vendor,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,5
Delhi,Associate,Vendor,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,5
Delhi,Associate,Vendor,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,23
Delhi,Associate,Direct,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,9
Delhi,Associate,Direct,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,13
Delhi,Associate,Direct,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,50
Delhi,Associate,Career Page,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,17
Delhi,Associate,Career Page,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,41
Delhi,Associate,Career Page,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,56
Delhi,Associate,Referral,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,6
Delhi,Associate,Referral,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Delhi,Associate,Referral,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,Relationship Manager,Vendor,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,35
Delhi,Relationship Manager,Vendor,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,28
Delhi,Relationship Manager,Vendor,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,21
Delhi,Relationship Manager,Direct,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Delhi,Relationship Manager,Direct,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,10
Delhi,Relationship Manager,Direct,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,6
Delhi,Relationship Manager,Career Page,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,11
Delhi,Relationship Manager,Career Page,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,6
Delhi,Relationship Manager,Career Page,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,8
Delhi,Territory Manager,Vendor,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Delhi,Territory Manager,Vendor,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,4
Delhi,Territory Manager,Vendor,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,8
Delhi,Territory Manager,Direct,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,19
Delhi,Territory Manager,Direct,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,31
Delhi,Territory Manager,Direct,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,17
Delhi,Territory Manager,Career Page,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Delhi,Territory Manager,Career Page,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,14
Delhi,Territory Manager,Career Page,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,7
Delhi,Territory Manager,Job Portal,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,Corporate Role,Career Page,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,Sales Executive,Vendor,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,Sales Executive,Direct,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Delhi,Sales Executive,Direct,01-12-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,Sales Executive,Career Page,01-10-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,Sales Executive,Career Page,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,Sales Executive,Job Portal,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,Businees Development Executive,Direct,01-11-2016,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
