State,Role,Type,SubType,Value
State1,Role1,Candidate_count,Candidate_count,29
State1,Role1,TAT_Score,TAT1,12
State1,Role1,TAT_Score,TAT2,16
State1,Role1,TAT_Score,TAT3,25
State1,Role2,Candidate_count,Candidate_count,3
State1,Role2,TAT_Score,TAT1,12
State1,Role2,TAT_Score,TAT2,6
State1,Role2,TAT_Score,TAT3,20
State1,Role3,Candidate_count,Candidate_count,28
State1,Role3,TAT_Score,TAT1,27
State1,Role3,TAT_Score,TAT2,29
State1,Role3,TAT_Score,TAT3,16
State2,Role1,Candidate_count,Candidate_count,23
State2,Role1,TAT_Score,TAT1,30
State2,Role1,TAT_Score,TAT2,8
State2,Role1,TAT_Score,TAT3,23
State2,Role2,Candidate_count,Candidate_count,5
State2,Role2,TAT_Score,TAT1,8
State2,Role2,TAT_Score,TAT2,29
State2,Role2,TAT_Score,TAT3,12
State2,Role3,Candidate_count,Candidate_count,18
State2,Role3,TAT_Score,TAT1,26
State2,Role3,TAT_Score,TAT2,15
State2,Role3,TAT_Score,TAT3,21
State3,Role1,Candidate_count,Candidate_count,25
State3,Role1,TAT_Score,TAT1,1
State3,Role1,TAT_Score,TAT2,24
State3,Role1,TAT_Score,TAT3,2
State3,Role2,Candidate_count,Candidate_count,12
State3,Role2,TAT_Score,TAT1,15
State3,Role2,TAT_Score,TAT2,25
State3,Role2,TAT_Score,TAT3,12
State3,Role3,Candidate_count,Candidate_count,21
State3,Role3,TAT_Score,TAT1,13
State3,Role3,TAT_Score,TAT2,22
State3,Role3,TAT_Score,TAT3,12
