metric_id_1,m1,metric_id_2,m2,metric_id_3,m3,metric_id_4,m4,metric_id_5,m5,metric_id_6,m6,metric_id_7,m7,type,value
1,Andaman & Nicobar,4,CSO,2,Direct,3,01-11-16,5,05-10 yrs,4,02-05 yrs,5,4,candidate_count,1
1,Andaman & Nicobar,6,BD,2,Direct,3,01-11-16,1,00 yrs,1,00 yrs,1,0,candidate_count,1
2,Andhra Pradesh,1,HR,2,Direct,4,01-12-16,5,05-10 yrs,5,05-10 yrs,2,1,candidate_count,1
2,Andhra Pradesh,2,Corporate,2,Direct,3,01-11-16,5,05-10 yrs,4,02-05 yrs,5,4,candidate_count,1
2,Andhra Pradesh,2,Corporate,2,Direct,4,01-12-16,4,02-05 yrs,3,01-02 yrs,4,3,candidate_count,1
2,Andhra Pradesh,2,Corporate,3,Career Page,2,01-10-16,3,01-02 yrs,2,00-01 yrs,3,2,candidate_count,1
2,Andhra Pradesh,2,Corporate,3,Career Page,3,01-11-16,5,05-10 yrs,3,01-02 yrs,6,5,candidate_count,1
2,Andhra Pradesh,2,Corporate,3,Career Page,3,01-11-16,5,05-10 yrs,5,05-10 yrs,2,1,candidate_count,1
2,Andhra Pradesh,2,Corporate,3,Career Page,4,01-12-16,3,01-02 yrs,3,01-02 yrs,2,1,candidate_count,1
2,Andhra Pradesh,3,IT,2,Direct,2,01-10-16,6,10-50 yrs,5,05-10 yrs,3,2,candidate_count,1
2,Andhra Pradesh,3,IT,2,Direct,3,01-11-16,4,02-05 yrs,3,01-02 yrs,3,2,candidate_count,1
2,Andhra Pradesh,3,IT,2,Direct,3,01-11-16,4,02-05 yrs,4,02-05 yrs,2,1,candidate_count,1
2,Andhra Pradesh,3,IT,2,Direct,4,01-12-16,1,00 yrs,1,00 yrs,1,0,candidate_count,2
2,Andhra Pradesh,3,IT,3,Career Page,3,01-11-16,1,00 yrs,1,00 yrs,1,0,candidate_count,1
2,Andhra Pradesh,3,IT,3,Career Page,3,01-11-16,3,01-02 yrs,2,00-01 yrs,3,2,candidate_count,1
2,Andhra Pradesh,3,IT,3,Career Page,4,01-12-16,5,05-10 yrs,3,01-02 yrs,4,3,candidate_count,1
2,Andhra Pradesh,4,CSO,1,Vendor,2,01-10-16,3,01-02 yrs,3,01-02 yrs,2,1,candidate_count,1
2,Andhra Pradesh,4,CSO,1,Vendor,2,01-10-16,4,02-05 yrs,4,02-05 yrs,2,1,candidate_count,2
2,Andhra Pradesh,4,CSO,1,Vendor,2,01-10-16,5,05-10 yrs,5,05-10 yrs,2,1,candidate_count,4
2,Andhra Pradesh,4,CSO,1,Vendor,2,01-10-16,6,10-50 yrs,4,02-05 yrs,5,4,candidate_count,1
2,Andhra Pradesh,4,CSO,1,Vendor,3,01-11-16,1,00 yrs,1,00 yrs,1,0,candidate_count,1
2,Andhra Pradesh,4,CSO,1,Vendor,3,01-11-16,4,02-05 yrs,3,01-02 yrs,3,2,candidate_count,1
2,Andhra Pradesh,4,CSO,1,Vendor,3,01-11-16,4,02-05 yrs,3,01-02 yrs,4,3,candidate_count,1
2,Andhra Pradesh,4,CSO,1,Vendor,4,01-12-16,1,00 yrs,1,00 yrs,1,0,candidate_count,1
2,Andhra Pradesh,4,CSO,1,Vendor,4,01-12-16,2,00-01 yrs,2,00-01 yrs,2,1,candidate_count,1
2,Andhra Pradesh,4,CSO,1,Vendor,4,01-12-16,3,01-02 yrs,3,01-02 yrs,2,1,candidate_count,4
2,Andhra Pradesh,4,CSO,1,Vendor,4,01-12-16,4,02-05 yrs,3,01-02 yrs,3,2,candidate_count,1
2,Andhra Pradesh,4,CSO,1,Vendor,4,01-12-16,4,02-05 yrs,4,02-05 yrs,2,1,candidate_count,8
2,Andhra Pradesh,4,CSO,1,Vendor,4,01-12-16,5,05-10 yrs,3,01-02 yrs,4,3,candidate_count,1
2,Andhra Pradesh,4,CSO,1,Vendor,4,01-12-16,5,05-10 yrs,4,02-05 yrs,3,2,candidate_count,1
2,Andhra Pradesh,4,CSO,1,Vendor,4,01-12-16,5,05-10 yrs,5,05-10 yrs,2,1,candidate_count,1
2,Andhra Pradesh,4,CSO,2,Direct,2,01-10-16,2,00-01 yrs,2,00-01 yrs,2,1,candidate_count,1
2,Andhra Pradesh,4,CSO,2,Direct,2,01-10-16,4,02-05 yrs,4,02-05 yrs,2,1,candidate_count,1
2,Andhra Pradesh,4,CSO,2,Direct,2,01-10-16,4,02-05 yrs,4,02-05 yrs,3,2,candidate_count,1
2,Andhra Pradesh,4,CSO,2,Direct,3,01-11-16,1,00 yrs,1,00 yrs,1,0,candidate_count,16
2,Andhra Pradesh,4,CSO,2,Direct,3,01-11-16,5,05-10 yrs,3,01-02 yrs,5,4,candidate_count,1
2,Andhra Pradesh,4,CSO,2,Direct,4,01-12-16,1,00 yrs,1,00 yrs,1,0,candidate_count,48
2,Andhra Pradesh,4,CSO,2,Direct,4,01-12-16,4,02-05 yrs,3,01-02 yrs,3,2,candidate_count,2
2,Andhra Pradesh,4,CSO,2,Direct,4,01-12-16,4,02-05 yrs,4,02-05 yrs,2,1,candidate_count,1
2,Andhra Pradesh,4,CSO,2,Direct,4,01-12-16,5,05-10 yrs,4,02-05 yrs,4,3,candidate_count,1
2,Andhra Pradesh,4,CSO,2,Direct,4,01-12-16,5,05-10 yrs,5,05-10 yrs,2,1,candidate_count,1
2,Andhra Pradesh,4,CSO,3,Career Page,2,01-10-16,1,00 yrs,1,00 yrs,1,0,candidate_count,3
2,Andhra Pradesh,4,CSO,3,Career Page,2,01-10-16,4,02-05 yrs,4,02-05 yrs,2,1,candidate_count,1
2,Andhra Pradesh,4,CSO,3,Career Page,3,01-11-16,1,00 yrs,1,00 yrs,1,0,candidate_count,13
2,Andhra Pradesh,4,CSO,3,Career Page,3,01-11-16,2,00-01 yrs,2,00-01 yrs,2,1,candidate_count,3
2,Andhra Pradesh,4,CSO,3,Career Page,3,01-11-16,3,01-02 yrs,3,01-02 yrs,2,1,candidate_count,1
2,Andhra Pradesh,4,CSO,3,Career Page,3,01-11-16,5,05-10 yrs,3,01-02 yrs,6,5,candidate_count,1
2,Andhra Pradesh,4,CSO,3,Career Page,4,01-12-16,1,00 yrs,1,00 yrs,1,0,candidate_count,14
2,Andhra Pradesh,4,CSO,3,Career Page,4,01-12-16,2,00-01 yrs,2,00-01 yrs,2,1,candidate_count,1
2,Andhra Pradesh,4,CSO,3,Career Page,4,01-12-16,3,01-02 yrs,3,01-02 yrs,2,1,candidate_count,2
2,Andhra Pradesh,4,CSO,3,Career Page,4,01-12-16,5,05-10 yrs,4,02-05 yrs,5,4,candidate_count,1
2,Andhra Pradesh,4,CSO,3,Career Page,4,01-12-16,6,10-50 yrs,4,02-05 yrs,4,3,candidate_count,1
2,Andhra Pradesh,4,CSO,4,Referral,2,01-10-16,1,00 yrs,1,00 yrs,1,0,candidate_count,1
2,Andhra Pradesh,4,CSO,4,Referral,3,01-11-16,1,00 yrs,1,00 yrs,1,0,candidate_count,1
2,Andhra Pradesh,4,CSO,4,Referral,3,01-11-16,5,05-10 yrs,4,02-05 yrs,4,3,candidate_count,1
2,Andhra Pradesh,5,RM,1,Vendor,2,01-10-16,2,00-01 yrs,2,00-01 yrs,2,1,candidate_count,1
2,Andhra Pradesh,5,RM,1,Vendor,2,01-10-16,4,02-05 yrs,3,01-02 yrs,3,2,candidate_count,1
2,Andhra Pradesh,5,RM,1,Vendor,2,01-10-16,4,02-05 yrs,4,02-05 yrs,2,1,candidate_count,1
2,Andhra Pradesh,5,RM,1,Vendor,3,01-11-16,2,00-01 yrs,2,00-01 yrs,2,1,candidate_count,1
2,Andhra Pradesh,5,RM,1,Vendor,3,01-11-16,4,02-05 yrs,4,02-05 yrs,2,1,candidate_count,1
2,Andhra Pradesh,5,RM,1,Vendor,4,01-12-16,4,02-05 yrs,3,01-02 yrs,3,2,candidate_count,1
2,Andhra Pradesh,5,RM,1,Vendor,4,01-12-16,4,02-05 yrs,3,01-02 yrs,4,3,candidate_count,1
2,Andhra Pradesh,5,RM,1,Vendor,4,01-12-16,4,02-05 yrs,4,02-05 yrs,2,1,candidate_count,1
2,Andhra Pradesh,5,RM,1,Vendor,4,01-12-16,4,02-05 yrs,4,02-05 yrs,3,2,candidate_count,1
2,Andhra Pradesh,5,RM,1,Vendor,4,01-12-16,5,05-10 yrs,4,02-05 yrs,4,3,candidate_count,1
2,Andhra Pradesh,5,RM,2,Direct,2,01-10-16,5,05-10 yrs,4,02-05 yrs,5,4,candidate_count,1
2,Andhra Pradesh,5,RM,2,Direct,2,01-10-16,6,10-50 yrs,4,02-05 yrs,5,4,candidate_count,1
2,Andhra Pradesh,5,RM,2,Direct,3,01-11-16,1,00 yrs,1,00 yrs,1,0,candidate_count,2
2,Andhra Pradesh,5,RM,2,Direct,3,01-11-16,3,01-02 yrs,3,01-02 yrs,2,1,candidate_count,2
2,Andhra Pradesh,5,RM,2,Direct,3,01-11-16,4,02-05 yrs,3,01-02 yrs,3,2,candidate_count,1
2,Andhra Pradesh,5,RM,2,Direct,3,01-11-16,4,02-05 yrs,4,02-05 yrs,3,2,candidate_count,1
2,Andhra Pradesh,5,RM,2,Direct,4,01-12-16,4,02-05 yrs,3,01-02 yrs,4,3,candidate_count,2
2,Andhra Pradesh,5,RM,2,Direct,4,01-12-16,4,02-05 yrs,4,02-05 yrs,3,2,candidate_count,1
2,Andhra Pradesh,5,RM,3,Career Page,2,01-10-16,1,00 yrs,1,00 yrs,1,0,candidate_count,2
2,Andhra Pradesh,5,RM,3,Career Page,2,01-10-16,4,02-05 yrs,4,02-05 yrs,2,1,candidate_count,3
2,Andhra Pradesh,5,RM,3,Career Page,2,01-10-16,5,05-10 yrs,5,05-10 yrs,2,1,candidate_count,1
2,Andhra Pradesh,5,RM,3,Career Page,3,01-11-16,1,00 yrs,1,00 yrs,1,0,candidate_count,7
2,Andhra Pradesh,5,RM,3,Career Page,3,01-11-16,2,00-01 yrs,2,00-01 yrs,2,1,candidate_count,1
2,Andhra Pradesh,5,RM,3,Career Page,3,01-11-16,3,01-02 yrs,3,01-02 yrs,2,1,candidate_count,2
2,Andhra Pradesh,5,RM,3,Career Page,3,01-11-16,4,02-05 yrs,4,02-05 yrs,2,1,candidate_count,1
2,Andhra Pradesh,5,RM,3,Career Page,3,01-11-16,5,05-10 yrs,4,02-05 yrs,3,2,candidate_count,1
2,Andhra Pradesh,5,RM,3,Career Page,4,01-12-16,1,00 yrs,1,00 yrs,1,0,candidate_count,7
2,Andhra Pradesh,5,RM,3,Career Page,4,01-12-16,2,00-01 yrs,2,00-01 yrs,2,1,candidate_count,2
2,Andhra Pradesh,5,RM,3,Career Page,4,01-12-16,3,01-02 yrs,3,01-02 yrs,2,1,candidate_count,2
2,Andhra Pradesh,5,RM,3,Career Page,4,01-12-16,4,02-05 yrs,3,01-02 yrs,3,2,candidate_count,1
2,Andhra Pradesh,5,RM,3,Career Page,4,01-12-16,4,02-05 yrs,4,02-05 yrs,2,1,candidate_count,4
2,Andhra Pradesh,6,BD,1,Vendor,2,01-10-16,1,00 yrs,1,00 yrs,1,0,candidate_count,14
2,Andhra Pradesh,6,BD,1,Vendor,2,01-10-16,2,00-01 yrs,2,00-01 yrs,2,1,candidate_count,3
2,Andhra Pradesh,6,BD,1,Vendor,2,01-10-16,3,01-02 yrs,3,01-02 yrs,2,1,candidate_count,1
2,Andhra Pradesh,6,BD,1,Vendor,2,01-10-16,4,02-05 yrs,3,01-02 yrs,3,2,candidate_count,1
2,Andhra Pradesh,6,BD,1,Vendor,3,01-11-16,1,00 yrs,1,00 yrs,1,0,candidate_count,16
2,Andhra Pradesh,6,BD,1,Vendor,3,01-11-16,2,00-01 yrs,2,00-01 yrs,2,1,candidate_count,1
2,Andhra Pradesh,6,BD,1,Vendor,3,01-11-16,4,02-05 yrs,4,02-05 yrs,2,1,candidate_count,1
2,Andhra Pradesh,6,BD,1,Vendor,4,01-12-16,1,00 yrs,1,00 yrs,1,0,candidate_count,4
2,Andhra Pradesh,6,BD,2,Direct,2,01-10-16,1,00 yrs,1,00 yrs,1,0,candidate_count,22
2,Andhra Pradesh,6,BD,2,Direct,2,01-10-16,2,00-01 yrs,2,00-01 yrs,2,1,candidate_count,3
2,Andhra Pradesh,6,BD,2,Direct,2,01-10-16,3,01-02 yrs,3,01-02 yrs,2,1,candidate_count,2
2,Andhra Pradesh,6,BD,2,Direct,2,01-10-16,4,02-05 yrs,3,01-02 yrs,5,4,candidate_count,1
2,Andhra Pradesh,6,BD,2,Direct,2,01-10-16,4,02-05 yrs,4,02-05 yrs,2,1,candidate_count,1
2,Andhra Pradesh,6,BD,2,Direct,2,01-10-16,5,05-10 yrs,3,01-02 yrs,4,3,candidate_count,1
2,Andhra Pradesh,6,BD,2,Direct,2,01-10-16,5,05-10 yrs,3,01-02 yrs,5,4,candidate_count,1
2,Andhra Pradesh,6,BD,2,Direct,3,01-11-16,1,00 yrs,1,00 yrs,1,0,candidate_count,22
2,Andhra Pradesh,6,BD,2,Direct,3,01-11-16,2,00-01 yrs,2,00-01 yrs,2,1,candidate_count,7
2,Andhra Pradesh,6,BD,2,Direct,3,01-11-16,3,01-02 yrs,2,00-01 yrs,3,2,candidate_count,1
2,Andhra Pradesh,6,BD,2,Direct,3,01-11-16,3,01-02 yrs,3,01-02 yrs,2,1,candidate_count,3
2,Andhra Pradesh,6,BD,2,Direct,3,01-11-16,4,02-05 yrs,2,00-01 yrs,4,3,candidate_count,1
2,Andhra Pradesh,6,BD,2,Direct,3,01-11-16,4,02-05 yrs,3,01-02 yrs,3,2,candidate_count,2
2,Andhra Pradesh,6,BD,2,Direct,3,01-11-16,4,02-05 yrs,3,01-02 yrs,4,3,candidate_count,1
2,Andhra Pradesh,6,BD,2,Direct,3,01-11-16,4,02-05 yrs,4,02-05 yrs,2,1,candidate_count,1
2,Andhra Pradesh,6,BD,2,Direct,3,01-11-16,5,05-10 yrs,5,05-10 yrs,2,1,candidate_count,1
2,Andhra Pradesh,6,BD,2,Direct,3,01-11-16,6,10-50 yrs,4,02-05 yrs,5,4,candidate_count,1
2,Andhra Pradesh,6,BD,2,Direct,4,01-12-16,1,00 yrs,1,00 yrs,1,0,candidate_count,20
2,Andhra Pradesh,6,BD,2,Direct,4,01-12-16,2,00-01 yrs,2,00-01 yrs,2,1,candidate_count,4
2,Andhra Pradesh,6,BD,2,Direct,4,01-12-16,3,01-02 yrs,2,00-01 yrs,3,2,candidate_count,1
2,Andhra Pradesh,6,BD,2,Direct,4,01-12-16,3,01-02 yrs,3,01-02 yrs,2,1,candidate_count,3
2,Andhra Pradesh,6,BD,2,Direct,4,01-12-16,4,02-05 yrs,2,00-01 yrs,4,3,candidate_count,1
2,Andhra Pradesh,6,BD,2,Direct,4,01-12-16,4,02-05 yrs,3,01-02 yrs,4,3,candidate_count,1
2,Andhra Pradesh,6,BD,2,Direct,4,01-12-16,4,02-05 yrs,4,02-05 yrs,2,1,candidate_count,3
2,Andhra Pradesh,6,BD,2,Direct,4,01-12-16,4,02-05 yrs,4,02-05 yrs,3,2,candidate_count,1
2,Andhra Pradesh,6,BD,2,Direct,4,01-12-16,5,05-10 yrs,3,01-02 yrs,5,4,candidate_count,1
2,Andhra Pradesh,6,BD,2,Direct,4,01-12-16,5,05-10 yrs,4,02-05 yrs,3,2,candidate_count,3
2,Andhra Pradesh,6,BD,2,Direct,4,01-12-16,6,10-50 yrs,4,02-05 yrs,5,4,candidate_count,1
2,Andhra Pradesh,6,BD,2,Direct,4,01-12-16,6,10-50 yrs,5,05-10 yrs,3,2,candidate_count,1
2,Andhra Pradesh,6,BD,3,Career Page,2,01-10-16,1,00 yrs,1,00 yrs,1,0,candidate_count,17
2,Andhra Pradesh,6,BD,3,Career Page,2,01-10-16,2,00-01 yrs,2,00-01 yrs,2,1,candidate_count,2
2,Andhra Pradesh,6,BD,3,Career Page,3,01-11-16,1,00 yrs,1,00 yrs,1,0,candidate_count,82
2,Andhra Pradesh,6,BD,3,Career Page,3,01-11-16,2,00-01 yrs,2,00-01 yrs,2,1,candidate_count,5
2,Andhra Pradesh,6,BD,3,Career Page,3,01-11-16,3,01-02 yrs,2,00-01 yrs,3,2,candidate_count,1
2,Andhra Pradesh,6,BD,3,Career Page,3,01-11-16,3,01-02 yrs,2,00-01 yrs,4,3,candidate_count,2
2,Andhra Pradesh,6,BD,3,Career Page,3,01-11-16,3,01-02 yrs,3,01-02 yrs,2,1,candidate_count,9
2,Andhra Pradesh,6,BD,3,Career Page,3,01-11-16,4,02-05 yrs,4,02-05 yrs,2,1,candidate_count,8
2,Andhra Pradesh,6,BD,3,Career Page,3,01-11-16,4,02-05 yrs,4,02-05 yrs,3,2,candidate_count,1
2,Andhra Pradesh,6,BD,3,Career Page,3,01-11-16,6,10-50 yrs,5,05-10 yrs,3,2,candidate_count,1
2,Andhra Pradesh,6,BD,3,Career Page,4,01-12-16,1,00 yrs,1,00 yrs,1,0,candidate_count,50
2,Andhra Pradesh,6,BD,3,Career Page,4,01-12-16,2,00-01 yrs,2,00-01 yrs,2,1,candidate_count,6
2,Andhra Pradesh,6,BD,3,Career Page,4,01-12-16,3,01-02 yrs,3,01-02 yrs,2,1,candidate_count,5
2,Andhra Pradesh,6,BD,3,Career Page,4,01-12-16,4,02-05 yrs,2,00-01 yrs,4,3,candidate_count,1
2,Andhra Pradesh,6,BD,3,Career Page,4,01-12-16,4,02-05 yrs,3,01-02 yrs,3,2,candidate_count,2
2,Andhra Pradesh,6,BD,3,Career Page,4,01-12-16,4,02-05 yrs,4,02-05 yrs,2,1,candidate_count,5
2,Andhra Pradesh,6,BD,3,Career Page,4,01-12-16,4,02-05 yrs,4,02-05 yrs,3,2,candidate_count,1
2,Andhra Pradesh,6,BD,3,Career Page,4,01-12-16,5,05-10 yrs,5,05-10 yrs,2,1,candidate_count,2
2,Andhra Pradesh,6,BD,4,Referral,2,01-10-16,1,00 yrs,1,00 yrs,1,0,candidate_count,9
2,Andhra Pradesh,6,BD,4,Referral,2,01-10-16,2,00-01 yrs,2,00-01 yrs,2,1,candidate_count,2
2,Andhra Pradesh,6,BD,4,Referral,2,01-10-16,3,01-02 yrs,3,01-02 yrs,2,1,candidate_count,2
2,Andhra Pradesh,6,BD,4,Referral,2,01-10-16,4,02-05 yrs,4,02-05 yrs,2,1,candidate_count,1
2,Andhra Pradesh,6,BD,4,Referral,2,01-10-16,5,05-10 yrs,4,02-05 yrs,3,2,candidate_count,1
2,Andhra Pradesh,6,BD,4,Referral,2,01-10-16,5,05-10 yrs,5,05-10 yrs,2,1,candidate_count,1
2,Andhra Pradesh,6,BD,4,Referral,3,01-11-16,1,00 yrs,1,00 yrs,1,0,candidate_count,4
2,Andhra Pradesh,6,BD,4,Referral,3,01-11-16,1,00 yrs,1,00 yrs,2,1,candidate_count,1
2,Andhra Pradesh,6,BD,4,Referral,3,01-11-16,2,00-01 yrs,2,00-01 yrs,2,1,candidate_count,2
2,Andhra Pradesh,6,BD,4,Referral,3,01-11-16,3,01-02 yrs,3,01-02 yrs,2,1,candidate_count,1
2,Andhra Pradesh,6,BD,4,Referral,3,01-11-16,4,02-05 yrs,4,02-05 yrs,2,1,candidate_count,2
