m1,m2,m3,m4,m5,m6,type,value
Andaman & Nicobar,CSO,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Andaman & Nicobar,BD,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Andhra Pradesh,HR,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Andhra Pradesh,Corporate,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Andhra Pradesh,Corporate,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Andhra Pradesh,Corporate,Career Page,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Andhra Pradesh,Corporate,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Andhra Pradesh,Corporate,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Andhra Pradesh,IT,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Andhra Pradesh,IT,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Andhra Pradesh,IT,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Andhra Pradesh,IT,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Andhra Pradesh,IT,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Andhra Pradesh,CSO,Vendor,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,8
Andhra Pradesh,CSO,Vendor,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Andhra Pradesh,CSO,Vendor,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,18
Andhra Pradesh,CSO,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Andhra Pradesh,CSO,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,17
Andhra Pradesh,CSO,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,53
Andhra Pradesh,CSO,Career Page,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,4
Andhra Pradesh,CSO,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,18
Andhra Pradesh,CSO,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,19
Andhra Pradesh,CSO,Referral,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Andhra Pradesh,CSO,Referral,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Andhra Pradesh,RM,Vendor,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Andhra Pradesh,RM,Vendor,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Andhra Pradesh,RM,Vendor,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,5
Andhra Pradesh,RM,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Andhra Pradesh,RM,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,6
Andhra Pradesh,RM,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Andhra Pradesh,RM,Career Page,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,6
Andhra Pradesh,RM,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,12
Andhra Pradesh,RM,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,16
Andhra Pradesh,BD,Vendor,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,19
Andhra Pradesh,BD,Vendor,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,18
Andhra Pradesh,BD,Vendor,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,4
Andhra Pradesh,BD,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,31
Andhra Pradesh,BD,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,40
Andhra Pradesh,BD,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,40
Andhra Pradesh,BD,Career Page,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,19
Andhra Pradesh,BD,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,109
Andhra Pradesh,BD,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,72
Andhra Pradesh,BD,Referral,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,16
Andhra Pradesh,BD,Referral,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,12
Andhra Pradesh,BD,Referral,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,10
